name,id
Hola,rz3jw0_XXoc
Hola,rz3jw0_XXoc
Hola,zPOgFI6t1p0
No,rz3jw0_XXoc
No,zPOgFI6t1p0
adios,4daW7-o4vBg
adios,VI7aB6ELCcM
adios,TSuXenPuOgQ&t
adios,p9tpYGZ7umE
buenas noches,VI7aB6ELCcM
buenas noches,TSuXenPuOgQ&t
buenas noches,p9tpYGZ7umE
buenas noches,zhq9WtcRVq8
buenas noches,XfzqVM-iY2E
buenos dias,Fcqr-nxVy0o
buenos dias,TSuXenPuOgQ
buenos dias,zhq9WtcRVq8
buenos dias,p9tpYGZ7umE
buenos dias,cu077nD1AIg&t
nos vemos,VI7aB6ELCcM
nos vemos,6yuE1tNhIOE
nos vemos,TSuXenPuOgQ&t
nos vemos,p9tpYGZ7umE
nos vemos,FlFLVEUpfuA
como te llamas,6yuE1tNhIOE
como te llamas,-iGje4pyhjU
como te llamas,CgdCzClXUfs
como te llamas,-iGje4pyhjU
mucho gusto,-iGje4pyhjU
mucho gusto,Fcqr-nxVy0o
mucho gusto,XwmkCWh-fJ4
si,9kt4R2wCrv4
hospital,uJBfwXKX1tw
hospital,TuuyArehf3M
hospital,uIhXTJBcJoQ
hospital,ldGWh0GcHiY
iglesia,GeM890-cKD0
iglesia,uJBfwXKX1tw
iglesia,uIhXTJBcJoQ
iglesia,ldGWh0GcHiY
cine,GeM890-cKD0
cine,lvgZ_9QBYmc
cine,uJBfwXKX1tw
cine,TuuyArehf3M